Overview,Series_Title,Released_Year
"La historia de Henry Hill y su vida en la mafia, cubriendo su relación con su esposa Karen Hill y sus socios de la mafia Jimmy Conway y Tommy Devito en el sindicato del crimen italiano-estadounidense.",Goodfellas,1990
"Después de que los rebeldes son brutalmente dominados por el Imperio en el Planeta Hielo Hoth, Luke Skywalker comienza a entrenarse con Yoda, mientras que sus amigos son perseguidos por Darth Vader y un cazarrecompensas llamado Boba Fett por toda la galaxia.",Star Wars: Episode V - The Empire Strikes Back,1980
"Un criminal declara locura y es admitido en una institución mental, donde se rebela contra la enfermera opresiva y se une a los pacientes asustados.",One Flew Over the Cuckoo's Nest,1975
"La vida real de uno de los padres fundadores más importantes de Estados Unidos y el primer secretario del Tesoro, Alexander Hamilton.Capturado en vivo en Broadway desde el Teatro Richard Rodgers con el elenco original de Broadway.",Hamilton,2020
La codicia y la discriminación de clase amenazan la relación simbiótica recientemente formada entre la rica familia del parque y el clan Kim indigente.,Gisaengchung,2019
"Nedumaaran Rajangam ""Maara"" se propone hacer que el hombre común vuele y en el proceso se enfrente a la industria más intensiva del mundo y a varios enemigos que se interponen en su camino.",Soorarai Pottru,2020
Un equipo de exploradores viaja a través de un agujero de gusano en el espacio en un intento por garantizar la supervivencia de la humanidad.,Interstellar,2014
"En los barrios marginales de Río, los caminos de dos niños divergen mientras uno lucha por convertirse en fotógrafo y el otro rey.",Cidade de Deus,2002
"Durante el traslado de su familia a los suburbios, una niña hecha de 10 años deambula por un mundo gobernado por dioses, brujas y espíritus, y donde los humanos se cambian a bestias.",Sen to Chihiro no kamikakushi,2001
"Después de los desembarcos de Normandía, un grupo de soldados estadounidenses va detrás de las líneas enemigas para recuperar un paracaidista cuyos hermanos han sido asesinados en acción.",Saving Private Ryan,1998
"Las vidas de los guardias en el corredor de la muerte se ven afectadas por uno de sus cargos: un hombre negro acusado de asesinato infantil y violación, pero que tiene un regalo misterioso.",The Green Mile,1999
"Cuando un bibliotecario judío de mente abierta y su hijo se convierten en víctimas del Holocausto, usa una mezcla perfecta de voluntad, humor e imaginación para proteger a su hijo de los peligros alrededor de su campamento.",La vita è bella,1997
"Dos detectives, un novato y un veterano, cazan a un asesino en serie que usa los siete pecados capitales como sus motivos.",Se7en,1995
"Un joven F.B.I.El cadete debe recibir la ayuda de un asesino caníbal encarcelado y manipulador para ayudar a atrapar a otro asesino en serie, un loco que esquiva a sus víctimas.",The Silence of the Lambs,1991
"Luke Skywalker une fuerzas con un Caballero Jedi, un piloto arrogante, un wookiee y dos droides para salvar la galaxia de la estación de batalla que destruye el mundo del imperio, mientras que también intenta rescatar a la princesa Leia del misterioso Darth Vader.",Star Wars,1977
"Cuando un Ronin que solicita a Seppuku en un palacio de Señor feudal se cuenta del brutal suicidio de otro Ronin que visitó anteriormente, revela cómo se entrelazan sus pasados, y al hacerlo desafía la integridad del clan.",Seppuku,1962
Un pueblo pobre bajo ataque de bandidos recluta siete samurai desempleados para ayudarlos a defenderse.,Shichinin no samurai,1954
Se envía un ángel del cielo para ayudar a un empresario desesperadamente frustrado mostrándole cómo habría sido la vida si nunca hubiera existido.,It's a Wonderful Life,1946
"En la ciudad de Gotham, el comediante con problemas mentales, Arthur Fleck, es ignorado y maltratado por la sociedad.Luego se embarca en una espiral descendente de revolución y delitos sangrientos.Este camino lo lleva cara a cara con su alter ego: el Joker.",Joker,2019
Un joven baterista prometedor se inscribe en un conservatorio musical de feroates donde sus sueños de grandeza son asesorados por un instructor que no se detendrá ante nada para darse cuenta del potencial de un estudiante.,Whiplash,2014
"Después de que se convierte en un tetrapléjico de un accidente de parapente, un aristócrata contrata a un joven de los proyectos para ser su cuidador.",The Intouchables,2011
"Después de un trágico accidente, dos magos de la etapa participan en una batalla para crear la ilusión definitiva mientras sacrifican todo lo que tienen que burlarse entre sí.",The Prestige,2006
Un policía encubierto y un lunar en la policía intentan identificarse entre sí mientras se infiltra en una pandilla irlandesa en el sur de Boston.,The Departed,2006
Un músico judío polaco lucha por sobrevivir a la destrucción del gueto de Varsovia de la Segunda Guerra Mundial.,The Pianist,2002
Un ex general romano se propone una venganza exacta contra el emperador corrupto que asesinó a su familia y lo envió a la esclavitud.,Gladiator,2000
Un ex skinhead neonazi intenta evitar que su hermano menor vaya por el mismo camino equivocado que hizo.,American History X,1998
"Un único sobreviviente habla de los eventos sinuosos que condujeron a una horrible tiroteo en un bote, que comenzó cuando cinco delincuentes se reunieron en una alineación policial aparentemente aleatoria.",The Usual Suspects,1995
"Mathilda, una niña de 12 años, es acogida a regañadientes por Léon, una asesina profesional, después de que su familia es asesinada.Se forma una relación inusual a medida que ella se convierte en su protegido y aprende el oficio del asesino.",Léon,1994
"El príncipe del león Simba y su padre son atacados por su tío amargo, que quiere ascender al trono mismo.",The Lion King,1994
"Un cyborg, idéntico al que no pudo matar a Sarah Connor, ahora debe proteger a su hijo adolescente, John Connor, de un cyborg más avanzado y poderoso.",Terminator 2: Judgment Day,1991
Un cineasta recuerda su infancia cuando se enamora de las imágenes en el cine de su pueblo natal y forma una profunda amistad con el proyeccionista del cine.,Nuovo Cinema Paradiso,1988
Un niño y su hermana pequeña luchan por sobrevivir en Japón durante la Segunda Guerra Mundial.,Hotaru no haka,1988
"Marty McFly, un estudiante de secundaria de 17 años, es enviado accidentalmente treinta años en el pasado en un deloreano que viaja en el tiempo inventado por su amigo cercano, el excéntrico científico Doc Brown.",Back to the Future,1985
Un extraño misterioso con una armónica une fuerzas con un notorio desesperado para proteger a una hermosa viuda de un asesino despiadado que trabaja para el ferrocarril.,Once Upon a Time in the West,1968
"Una secretaria de Phoenix malversa $ 40,000 del cliente de su empleador, sale a la carrera y se registra en un motel remoto dirigido por un joven bajo la dominación de su madre.",Psycho,1960
El propietario de un café estadounidense de expatriado cínico lucha por decidir si ayudar o no a su antiguo amante y su esposo fugitivo escapar de los nazis en el Marruecos franceses.,Casablanca,1942
El vagabundo lucha por vivir en la sociedad industrial moderna con la ayuda de una joven sin hogar.,Modern Times,1936
"Con la ayuda de un rico Tippler errático, un vagabundo de ojos húmedos que se ha enamorado de una niña de flores sincera acumula dinero para poder ayudarla médicamente.",City Lights,1931
"Mientras cumple una sentencia de cinco años por un crimen violento, un niño de 12 años demanda a sus padres por negligencia.",Capharnaüm,2018
"En 1950, en medio de los estragos de la Guerra de Corea, el sargento Süleyman tropieza con una niña medio congelada, sin padres y sin ayuda a la vista.Frenético, asustado y al borde de la muerte, ... ver resumen completo »",Ayla: The Daughter of War,2017
"Vikram, un oficial de policía sin sentido, acompañado por Simon, su compañero, está en la caza para capturar a Vedha, un contrabandista y un asesino.Vedha intenta cambiar la vida de Vikram, lo que lleva a un conflicto.",Vikram Vedha,2017
"Dos extraños se encuentran vinculados de una manera extraña.Cuando se forme una conexión, ¿será la distancia lo único que los mantendrá separados?",Kimi no na wa.,2016
El ex luchador Mahavir Singh Phogat y sus dos hijas luchador luchan por la gloria en los Juegos de la Commonwealth frente a la opresión social.,Dangal,2016
"Teen Miles Morales se convierte en el hombre araña de su universo, y debe unirse a cinco personas con araña de otras dimensiones para detener una amenaza para todas las realidades.",Spider-Man: Into the Spider-Verse,2018
"Después de los devastadores eventos de Avengers: Infinity War (2018), el universo está en ruinas.Con la ayuda de los aliados restantes, los Vengadores se ensamblan una vez más para revertir las acciones de Thanos y restaurar el equilibrio al universo.",Avengers: Endgame,2019
Los Vengadores y sus aliados deben estar dispuestos a sacrificar a todos en un intento de derrotar a los poderosos Thanos antes de su bombardeo de devastación y ruina pone fin al universo.,Avengers: Infinity War,2018
"El aspirante a músico Miguel, confrontado con la prohibición ancestral de su familia sobre la música, entra en la tierra de los muertos para encontrar a su tatarabuelo, un cantante legendario.",Coco,2017
"Con la ayuda de un cazador de recompensas alemán, un esclavo liberado se propone rescatar a su esposa de un brutal propietario de la plantación de Mississippi.",Django Unchained,2012
"Ocho años después del reinado de la anarquía del Joker, Batman, con la ayuda de la enigmática Catwoman, se ve obligado a su exilio a salvar a Gotham City de la brutal terrorista guerrillera Bane.",The Dark Knight Rises,2012
"Dos amigos están buscando a su compañero perdido hace mucho tiempo.Revisan sus días universitarios y recuerdan los recuerdos de su amigo que los inspiró a pensar de manera diferente, incluso cuando el resto del mundo los llamó ""idiotas"".",3 Idiots,2009
"Se cree que un niño de ocho años es un problema perezoso, hasta que el nuevo maestro de arte tenga la paciencia y la compasión de descubrir el verdadero problema detrás de sus luchas en la escuela.",Taare Zameen Par,2007
"En un futuro lejano, un pequeño robot de recolección de residuos se embarca inadvertidamente en un viaje espacial que finalmente decidirá el destino de la humanidad.",WALL·E,2008
"En 1984, Berlín Oriental, un agente de la Policía Secreta, realizando vigilancia sobre un escritor y su amante, se encuentra cada vez más absorbido por sus vidas.",The Lives of Others,2006
"Después de ser secuestrado y encarcelado durante quince años, Oh Dae-Su es liberado, solo para descubrir que debe encontrar a su captor en cinco días.",Oldeuboi,2003
Un hombre con pérdida de memoria a corto plazo intenta localizar al asesino de su esposa.,Memento,2000
"En un viaje para encontrar la cura para la maldición de un Tatarigami, Ashitaka se encuentra en medio de una guerra entre los dioses del bosque y Tatara, una colonia minera.En esta búsqueda también conoce a San, el Mononoke Hime.",Mononoke-hime,1997
"Un antiguo gángster judío de la era de la prohibición regresa al lado este del lado este de Manhattan más de treinta años después, donde una vez más debe enfrentar los fantasmas y los arrepentimientos de su antigua vida.",Once Upon a Time in America,1984
"En 1936, el gobierno de EE. UU. Contrata el arqueólogo y aventurero Indiana Jones para encontrar el arca del pacto antes de que los nazis de Adolf Hitler puedan obtener sus increíbles poderes.",Raiders of the Lost Ark,1981
"Una familia se dirige a un hotel aislado para el invierno donde una presencia siniestra influye en el padre en la violencia, mientras que su hijo psíquico ve horribles antepasados tanto del pasado como del futuro.",The Shining,1980
Un oficial del ejército de los Estados Unidos que sirve en Vietnam tiene la tarea de asesinar a un coronel de las fuerzas especiales renegadas que se ve a sí mismo como un dios.,Apocalypse Now,1979
"Después de que una embarcación comercial espacial recibe una transmisión desconocida como una llamada de angustia, una de las tripulaciones es atacada por una forma de vida misteriosa y pronto se dan cuenta de que su ciclo de vida simplemente ha comenzado.",Alien,1979
"La historia de un hombre con enfermedad terminal que desea vivir la vida al máximo antes de que ocurra lo inevitable, como lo contan su mejor amigo.",Anand,1971
Un ejecutivo de una compañía de zapatos se convierte en víctima de la extorsión cuando el hijo de su chofer es secuestrado y retenido por rescate.,Tengoku to jigoku,1963
Un general loco desencadena un camino hacia el holocausto nuclear que una sala de guerra llena de políticos y generales intenta detenerse frenéticamente.,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Un veterano abogado británico debe defender a su cliente en un juicio por asesinato que tenga sorpresa tras sorpresa.,Witness for the Prosecution,1957
"Después de negarse a atacar una posición enemiga, un general acusa a los soldados de cobardía y su oficial al mando debe defenderlos.",Paths of Glory,1957
Un fotógrafo con destino a sillas de ruedas espía a sus vecinos desde la ventana de su apartamento y se convence de que uno de ellos ha cometido asesinato.,Rear Window,1954
Un guionista desarrolla una relación peligrosa con una estrella de cine descolorida decidida a hacer un retorno triunfal.,Sunset Blvd.,1950
"El adenoide del dictador Hynkel intenta expandir su imperio, mientras que un pobre barbero judío intenta evitar la persecución del régimen de Hynkel.",The Great Dictator,1940
"6 de abril de 1917. A medida que un regimiento se reúne para librar la guerra profundamente en el territorio enemigo, se asignan dos soldados a correr contra el tiempo y entregar un mensaje que impedirá que 1.600 hombres caminen directamente a una trampa mortal.",1917,2019
Una historia mitológica sobre una diosa que creó todo el universo.La trama gira en torno a las consecuencias cuando los humanos construyen un templo para su primogénito.,Tumbbad,2018
"Una serie de eventos misteriosos cambian la vida de un pianista ciego, que ahora debe informar un crimen que técnicamente no debe saber nada.",Andhadhun,2018
Un hombre hace mucho tiempo para salvar a su familia del castigo después de que la familia comete un delito accidental.,Drishyam,2013
"Un maestro vive una vida solitaria, todo mientras lucha por la custodia de su hijo.Su vida lentamente mejora cuando encuentra el amor y recibe buenas noticias de su hijo, pero su nueva suerte está a punto de estar brutalmente destrozada por una pequeña mentira inocente.",Jagten,2012
Una pareja casada se enfrenta a una decisión difícil: mejorar la vida de su hijo al mudarse a otro país o quedarse en Irán y cuidar a un padre deteriorado que tiene la enfermedad de Alzheimer.,Jodaeiye Nader az Simin,2011
Los gemelos viajan a Medio Oriente para descubrir su historia familiar y cumplir con los últimos deseos de su madre.,Incendies,2010
Una historia de amor entre un padre de mentalidad mentalmente que fue acusado injustamente de asesinato y su encantadora hija de seis años.La prisión sería su hogar.Basado en la película coreana 2013 7-Beon-Bang-Ui Seon-Mul (2013).,Miracle in cell NO.7,2019
La familia de un periodista de izquierda está destrozado después del golpe militar de Turquía en 1980.,Babam ve Oglum,2005
"En la Francia ocupada por los nazi durante la Segunda Guerra Mundial, un plan para asesinar a los líderes nazis por parte de un grupo de soldados estadounidenses judíos coincide con los planes vengativos del propietario de un teatro para lo mismo.",Inglourious Basterds,2009
"Cuando su relación se vuelve agria, una pareja se somete a un procedimiento médico para que se eliminen de sus recuerdos.",Eternal Sunshine of the Spotless Mind,2004
"Amélie es una niña inocente e ingenua en París con su propio sentido de justicia.Ella decide ayudar a quienes la rodean y, en el camino, descubre el amor.",Amélie,2001
"Promotores de boxeo sin escrúpulos, casquillos violentos, un gángster ruso, ladrones de aficionados incompetentes y supuestamente joyeros judíos luchan para rastrear un diamante robado invaluable.",Snatch,2000
Las utopías inducidas por drogas de cuatro personas de Coney Island están destrozadas cuando sus adicciones son profundas.,Requiem for a Dream,2000
Un padre suburbano sexualmente frustrado tiene una crisis de mediana edad después de enamorarse del mejor amigo de su hija.,American Beauty,1999
"Will Hunting, un conserje en M.I.T., tiene un regalo para las matemáticas, pero necesita ayuda de un psicólogo para encontrar dirección en su vida.",Good Will Hunting,1997
"Después de que un niño pierde el par de zapatos de su hermana, se lleva una serie de aventuras para encontrarlos.Cuando no puede, intenta una nueva forma de ""ganar"" un nuevo par.",Bacheha-Ye aseman,1997
Una muñeca vaquera está profundamente amenazada y celosa cuando una nueva figura de Spaceman lo suplanta como el mejor juguete en la habitación de un niño.,Toy Story,1995
El guerrero escocés William Wallace lleva a sus compatriotas en una rebelión para liberar a su tierra natal de la tiranía del rey Eduardo I de Inglaterra.,Braveheart,1995
"Cuando un simple atraco de joyería sale terriblemente mal, los delincuentes sobrevivientes comienzan a sospechar que uno de ellos es un informante policial.",Reservoir Dogs,1992
Un marine pragmático de los Estados Unidos observa los efectos deshumanizantes que la Guerra de Vietnam tiene en sus compañeros reclutas de su brutal entrenamiento en el campo de entrenamiento hasta la sangrienta calle en la calle en Hue.,Full Metal Jacket,1987
"Después de encontrar un viejo rifle, un niño se une al movimiento de resistencia soviética contra las despiadadas fuerzas alemanas y experimenta los horrores de la Segunda Guerra Mundial.",Idi i smotri,1985
"Cincuenta y siete años después de sobrevivir a un ataque apocalíptico a bordo de su buque espacial por criaturas espaciales despiadas, el oficial Ripley se despierta de hiper-sueño e intenta advertir a cualquiera que escuche sobre los depredadores.",Aliens,1986
"La vida, el éxito y los problemas de Wolfgang Amadeus Mozart, según lo dicho por Antonio Salieri, el compositor contemporáneo que estaba increíblemente celoso del talento de Mozart y afirmó haberlo asesinado.",Amadeus,1984
"En 1980 Miami, un inmigrante cubano determinado se hace cargo de un cartel de drogas y sucumbe a la codicia.",Scarface,1983
"Después de una atrevida misión de rescatar a Han Solo de Jabba el Hutt, los rebeldes despachan a Endor para destruir la segunda estrella de la muerte.Mientras tanto, Luke lucha por ayudar a Darth Vader a regresar del lado oscuro sin caer en la trampa del emperador.",Star Wars: Episode VI - Return of the Jedi,1983
"El mundo claustrofóbico de un submarino alemán de la Segunda Guerra Mundial;Aburrimiento, suciedad y puro terror.",Das Boot,1981
"Un veterano mentalmente inestable trabaja como taxista nocturno en la ciudad de Nueva York, donde la decadencia percibida y la sordidez alimentan su impulso de acción violenta al intentar liberar a un trabajador de campaña presidencial y una prostituta menor de edad.",Taxi Driver,1976
Dos Grifter se unen para lograr la estafa definitiva.,The Sting,1973
"En el futuro, un líder de pandillas sádico es encarcelado y es voluntario para un experimento de aversión a conducta, pero no sale según lo planeado.",A Clockwork Orange,1971
"Después de descubrir un misterioso artefacto enterrado debajo de la superficie lunar, la humanidad emprende una búsqueda para encontrar sus orígenes con la ayuda de la supercomputadora inteligente H.A.L.9000.",2001: A Space Odyssey,1968
Dos cazadores de recompensas con las mismas intenciones se unen para rastrear un forajido occidental.,Per qualche dollaro in più,1965
"La historia de T.E.Lawrence, el oficial inglés que unió y dirigió con éxito las diversas tribus árabes, a menudo en guerra, durante la Primera Guerra Mundial para luchar contra los turcos.",Lawrence of Arabia,1962
"Un hombre trata de levantarse en su compañía al dejar que sus ejecutivos usen su apartamento para citas, pero se producen complicaciones y un romance propio.",The Apartment,1960
Un ejecutivo de publicidad de la ciudad de Nueva York se hune después de ser confundido con un agente gubernamental por un grupo de espías extranjeros.,North by Northwest,1959
Un ex detective de la policía hace malabares con sus demonios personales y obsesionado con una mujer inquietantemente hermosa.,Vertigo,1958
Una compañía de productores y cine mudas y el elenco hacen una transición difícil al sonido.,Singin' in the Rain,1952
Un burócrata intenta encontrar un significado en su vida después de descubrir que tiene cáncer terminal.,Ikiru,1952
"En la Italia de la posguerra, se roba la bicicleta de un hombre de clase trabajadora.Él y su hijo se dispusieron a encontrarlo.",Ladri di biciclette,1948
Un representante de seguro se deja hablar por una seductora ama de casa en un esquema de fraude de asesinato/seguro que despierta la sospecha de un investigador de seguro.,Double Indemnity,1944
"Tras la muerte de publicar el magnate Charles Foster Kane, los periodistas luchan para descubrir el significado de su expresión final;'Capullo de rosa'.",Citizen Kane,1941
"Cuando la policía en una ciudad alemana no puede atrapar a un asesino infantil, otros delincuentes se unen a la cacería humana.",M - Eine Stadt sucht einen Mörder,1931
"En una ciudad futurista dividida muy dividida entre la clase trabajadora y los planificadores de la ciudad, el hijo del autor intelectual de la ciudad se enamora de un profeta de clase trabajadora que predice la llegada de un salvador para mediar sus diferencias.",Metropolis,1927
"El vagabundo se preocupa por un niño abandonado, pero los eventos ponen en peligro esa relación.",The Kid,1921
"Un trágico incidente obliga a Anirudh, un hombre de mediana edad, a hacer un viaje por el carril de la memoria y recordar sus días universitarios junto con sus amigos, que fueron etiquetados como perdedores.",Chhichhore,2019
"Las fuerzas especiales del ejército indio ejecutan una operación encubierta, vengando el asesinato de otros hombres del ejército en su base por un grupo terrorista.",Uri: The Surgical Strike,2018
"En la década de 1970, un feroz rebelde se eleva contra la brutal opresión y se convierte en el símbolo de la esperanza para las legiones de personas oprimidas.",K.G.F: Chapter 1,2018
Un portero italiano-estadounidense de clase trabajadora se convierte en el conductor de un pianista clásico afroamericano en una gira de lugares hasta el sur de los años sesenta.,Green Book,2018
Una madre desafía personalmente a las autoridades locales a resolver el asesinato de su hija cuando no atrapan al culpable.,"Three Billboards Outside Ebbing, Missouri",2017
Un investigador experimentado enfrenta varias teorías contradictorias sobre los perpetradores de un doble homicidio violento.,Talvar,2015
"Cuando Shiva, el hijo de Bahubali, se entera de su herencia, comienza a buscar respuestas.Su historia se yuxtapone con eventos pasados que se desarrollaron en el reino Mahishmati.",Baahubali 2: The Conclusion,2017
"Un simple acto de bondad siempre provoca otro, incluso en un lugar congelado y lejano.Cuando el nuevo cartero de Smeerensburg, Jesper, se hace amigo de Tymaker Klaus, sus regalos derriten una disputa antigua y entregan un trineo lleno de tradiciones navideñas.",Klaus,2019
"Las medidas desesperadas son tomadas por un hombre que intenta salvar a su familia del lado oscuro de la ley, después de cometer un crimen inesperado.",Drishyam,2015
Una niña de Delhi de una familia tradicional se dirige a una luna de miel en solitario después de que su matrimonio se cancele.,Queen,2013
"En 1992, la guerra continúa en Abjasia, una región separatista de Georgia.Un hombre estonio Ivo ha decidido quedarse y cosechar sus cultivos de mandarinas.En un sangriento conflicto en su puerta, un hombre herido queda atrás, y Ivo lo acoge.",Mandariinid,2013
"La verdad detrás de la ascensión de Milkha Singh, que fue marcada debido a la partición de India-Pakistán.",Bhaag Milkha Bhaag,2013
"Un choque entre Sultan y Shahid Khan conduce a la expulsión de Khan de Wasseypur, y enciende una disputa mortal de sangre que abarca tres generaciones.",Gangs of Wasseypur,2012
"Expulsado de su escuela, un niño de 16 años regresa a su casa a su padre abusivo y opresivo.",Udaan,2010
"La historia de Paan Singh Tomar, un atleta indio y siete veces campeón nacional de obstáculos nacionales que se convierte en uno de los dacoits más temidos en el valle de Chambal después de su retiro.",Paan Singh Tomar,2012
"Un consejero legal retirado escribe una novela con la esperanza de encontrar un cierre para uno de sus casos de homicidios no resueltos anteriores y para su amor no reconocido con su superior, los cuales todavía lo persiguen décadas después.",El secreto de sus ojos,2009
"El hijo menor de un ex boxeador alcohólico regresa a casa, donde es entrenado por su padre para la competencia en un torneo de artes marciales mixtas, un camino que pone al luchador en un curso de colisión con su hermano mayor separado.",Warrior,2011
"En 1954, un mariscal de los Estados Unidos investiga la desaparición de un asesino que escapó de un hospital por los criminalmente locos.",Shutter Island,2010
"Carl Fredricksen, de 78 años, viaja a Paradise Falls en su casa equipada con globos, sin darse cuenta, tomando un joven puesto.",Up,2009
"Basado en la historia real de Jordan Belfort, desde su ascenso hasta un rico corredor de valores que vive la vida alta hasta su caída que involucra el crimen, la corrupción y el gobierno federal.",The Wolf of Wall Street,2013
Kabir Khan es el entrenador del equipo nacional de hockey femenino indio y su sueño es hacer que su equipo femenino salga victorioso contra viento y marea.,Chak De! India,2007
"Una historia de familia, religión, odio, petróleo y locura, centrándose en un buscador de principios de siglo en los primeros días del negocio.",There Will Be Blood,2007
"En la España Falangista de 1944, la joven hijastra de un sádico oficial del ejército se escapa a un mundo de fantasía misterioso pero cautivador.",Pan's Labyrinth,2006
"Los juguetes se entregan por error a un centro de guardería en lugar del ático justo antes de que Andy se vaya a la universidad, y depende de Woody convencer a los otros juguetes de que no fueron abandonados y regresar a casa.",Toy Story 3,2010
"En una futura tiranía británica, un luchador sombrío de la libertad, conocido solo por los alias de ""V"", traza para derrocarla con la ayuda de una joven.",V for Vendetta,2005
"La historia de seis jóvenes indios que ayudan a una mujer inglesa a filmar un documental sobre los combatientes de la libertad de su pasado, y los eventos que los llevan a revivir la larga saga de la libertad.",Rang De Basanti,2006
"La historia catártica de una mujer joven que no puede ver, escuchar o hablar y la maestra que trae un rayo de luz a su mundo oscuro.",Black,2005
"Después de entrenar con su mentor, Batman comienza su lucha para liberar a Gotham City, llena de crímenes, de la corrupción.",Batman Begins,2005
Un exitoso científico indio regresa a una aldea india para llevar su niñera a Estados Unidos con él y en el proceso redescubre sus raíces.,"Swades: We, the People",2004
"Traudl Junge, el último secretario de Adolf Hitler, habla de los últimos días del dictador nazi en su búnker de Berlín al final de la Segunda Guerra Mundial.",Der Untergang,2004
"Cuando una joven no confensa es maldita con un cuerpo viejo por una bruja rencorosa, su única posibilidad de romper el hechizo se encuentra con un joven mago joven y inseguro y inseguro y sus compañeros en el castillo de las piernas y caminando.",Hauru no ugoku shiro,2004
"Después de que John Nash, un matemático brillante pero asocial, acepta un trabajo secreto en la criptografía, su vida da un giro para la pesadilla.",A Beautiful Mind,2001
"Tres hombres desempleados buscan respuestas a todos sus problemas de dinero, pero cuando llegue su oportunidad, ¿sabrán qué hacer con él?",Hera Pheri,2000
"Un juego de cartas fallidos en Londres desencadena a cuatro amigos, matones, cultivadores de malezas, gángsters duros, tiburones de préstamos y cobradores de deudas para chocar entre sí en una serie de eventos inesperados, todo por malezas, efectivo y dos escopetas antiguas.","Lock, Stock and Two Smoking Barrels",1998
"A medida que la corrupción crece en Los Ángeles de la década de 1950, tres policías, uno de los casos, uno brutal y una sórdida, investigan una serie de asesinatos con su propia marca de justicia.",L.A. Confidential,1997
"Baran el bandido, liberado de la prisión después de 35 años, busca la venganza y su amante.",Eskiya,1996
Un grupo de ladrones de bancos profesionales comienzan a sentir el calor de la policía cuando sin saberlo dejan una pista de su último atraco.,Heat,1995
"Una historia de codicia, engaño, dinero, poder y asesinato se produce entre dos mejores amigos: un ejecutor de la mafia y un ejecutivo de casino compiten entre sí por un imperio de juegos de azar, y por una socialité rápida y amante de la vida.",Casino,1995
"Dos holgazanes compiten por el afecto de una heredera, inadvertidamente se convierten en sus protectores de un criminal malvado.",Andaz Apna Apna,1994
"Retirado Old West Gunslinger William Munny toma a regañadientes un último trabajo, con la ayuda de su antiguo compañero Ned Logan y un joven, el ""niño de Schofield"".",Unforgiven,1992
"En 1938, después de su padre, el profesor Henry Jones, Sr. desaparece mientras persigue al Santo Grial, el profesor Henry ""Indiana"" Jones, Jr. se encuentra con los nazis de Adolf Hitler nuevamente para evitar que obtengan sus poderes.",Indiana Jones and the Last Crusade,1989
"En esta luminosa historia ambientada en el área alrededor de Sarajevo e Italia, Perhan, un joven romanero (gitano) atractivo con poderes telequinéticos, es seducida por el mundo de los delitos menores, que amenaza con destruirlo a él y a los que ama.",Dom za vesanje,1988
"Cuando dos niñas se mudan al país para estar cerca de su madre enferma, tienen aventuras con los maravillosos espíritus forestales que viven cerca.",Tonari no Totoro,1988
